contract_address,evt_block_number,evt_block_time,evt_index,evt_tx_hash,from,to,value
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,21939139,2022-05-02T17:25:25+00:00,51,\xccb9d8ee364a0ac7386d7987e5a296b79162380ddca34701178948213bd47981,\x4c8692cc08b14fa8b74b6f313394b8997aad721d,\x98f6a05f0cf0a07c9cb988ee152f346b34d6b8da,2369094131922145000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,22723800,2022-06-18T10:31:20+00:00,7,\x5fa9b0ef425ed8cd38aed43a3034ff0233d87d03e2468df9b133c1b10f31bee6,\x71641d6656ffb673f471ea292ea09ac528cc4df2,\xe9812f14cda5f02287a970f90e42c77ebb3cb6d7,110254314032379660000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,23406109,2022-07-28T18:23:50+00:00,78,\xa01625ed6416418975b482915dfdff4dade65e682fac99a171f9de1d228cf3c9,\x2723875bff110974e712019e4ab631dcac97910d,\x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,32847222439253066000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,24056986,2022-09-06T00:55:15+00:00,40,\x4994f5b8004cd54907156c26b0960a5b2ccd19d5f57d2157951bcd053980a894,\x2769e63ebc6cf6e9803ed87aea125eb596a38f95,\x98f6a05f0cf0a07c9cb988ee152f346b34d6b8da,343141416282065400
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,23767652,2022-08-18T22:08:30+00:00,135,\xb349da8cd8e8bec40f13419bb0a9785ff91f2cb6cda774f5b1542f43b629317e,\x7d9395c09ab2b1ac7417158d57b44722e2e6f12c,\x98f6a05f0cf0a07c9cb988ee152f346b34d6b8da,467198431997024260
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,22117968,2022-05-13T04:32:15+00:00,25,\x43f1bf9b722431482f68c8705e9e45006985de045241249936f0775cd2a7b0d5,\x2723875bff110974e712019e4ab631dcac97910d,\x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,108430031800000000000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,20992347,2022-03-07T21:49:20+00:00,39,\x7a0dce3fb3c127310485f5091d14b8653e44eca7f865edc528008e07a138a744,\x4c8692cc08b14fa8b74b6f313394b8997aad721d,\x8f24603a9d35b062778401ccca7cc0a9e87ef813,273668696586857200
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,22783465,2022-06-22T00:13:00+00:00,63,\xc6738ee2e1b4cc1852d4ea22e08953736b4846b4f04b95a627e87fd5760831e3,\x4c8692cc08b14fa8b74b6f313394b8997aad721d,\x2769e63ebc6cf6e9803ed87aea125eb596a38f95,276697570765307680
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,22077987,2022-05-10T20:42:35+00:00,4,\xdffa90d12f74965a9774f997d92d2c62736997640951c43dbd9ea76dbb19f932,\x98f6a05f0cf0a07c9cb988ee152f346b34d6b8da,\x4c8692cc08b14fa8b74b6f313394b8997aad721d,64634056023067140000
\x5df8339c5e282ee48c0c7ce8a7d01a73d38b3b27,22234020,2022-05-19T23:30:25+00:00,23,\x9c4d9546885e81360b9ed809a8b72dc43dbbce5580ae6062de7ab5db048e32f0,\x4c8692cc08b14fa8b74b6f313394b8997aad721d,\x2769e63ebc6cf6e9803ed87aea125eb596a38f95,353835612198387840
